,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
384,240,107,11000,165333,12071,186,90000000,560,7,19000
386,84,81,3000,58227,5062,181,90000000,643,5,2000
387,66,79,11000,45602,26088,114,86000000,11000,6,979
389,369,128,596,110486,1261,695,120000000,360,4,41000
392,47,96,887,2508,2728,24,90000000,886,4,788
395,187,357,23000,272223,45327,988,38000000,14000,6,14000
401,228,545,14000,88542,27694,254,75000000,8000,5,19000
402,256,266,12000,164148,37142,168,85000000,11000,7,28000
405,298,79,18000,166693,36237,276,85000000,16000,6,19000
406,84,36,2000,26413,4182,77,85000000,795,4,372
408,157,278,14000,182757,17423,483,85000000,3000,6,19000
412,107,28,4000,65270,6081,100,85000000,650,6,863
413,459,168,14000,341058,22226,713,85000000,5000,6,49000
420,98,102,12000,169023,23950,703,90000000,11000,7,10000
421,135,99,672,61417,1460,339,85000000,174,5,941
423,382,763,8000,70838,11454,208,85000000,886,5,18000
424,393,1000,10000,273921,12687,522,60000000,1000,7,36000
426,94,88,611,39391,2818,171,65000000,592,4,374
428,432,38,409,203458,578,588,35000000,107,7,46000
429,173,153,11000,246492,12700,685,70000000,1000,6,7000
434,377,21000,21000,301279,36928,589,65000000,15000,7,12000
437,424,13000,26000,270226,46355,741,80000000,13000,6,57000
439,673,378,34000,701607,49942,1959,78000000,14000,7,140000
440,383,480,14000,375879,16143,402,80000000,670,6,56000
446,234,23,13000,125036,25220,205,84000000,12000,6,22000
449,139,221,12000,107817,39269,255,80000000,11000,5,14000
452,490,17000,29000,786092,29585,964,80000000,223,8,53000
455,155,610,12000,283967,17087,535,80000000,1000,7,11000
458,204,221,11000,172878,16325,203,80000000,3000,6,19000
463,325,117,18000,227072,44797,560,80000000,15000,6,20000
470,406,452,11000,303185,20411,701,68000000,8000,7,82000
473,106,21,13000,44143,14261,216,80000000,503,7,4000
478,152,266,12000,56501,26839,97,80000000,11000,6,16000
480,129,11,340,27543,814,186,80000000,243,7,607
481,124,25,891,103787,1919,615,80000000,639,5,3000
484,137,258,2000,71574,2864,244,75000000,277,5,951
485,121,25,49000,83560,49631,619,85000000,448,7,32000
496,101,287,3000,24183,5593,160,80000000,739,5,665
500,61,750,1000,24868,2521,216,80000000,971,5,964
501,202,42,14000,58752,16922,117,90000000,788,6,21000
506,272,545,795,84508,1099,308,80000000,172,5,20000
508,205,2000,1000,610568,2827,1171,58000000,592,8,29000
509,186,28,2000,644348,6458,656,45000000,886,8,17000
511,169,18,622,64387,848,85,78000000,161,6,15000
516,119,54,12000,28276,30230,64,81200000,11000,7,31000
518,49,5,22000,16611,28050,197,76000000,1000,4,413
519,165,11,1000,24407,4782,155,75000000,904,6,36000
521,306,275,7000,286877,11905,284,76000000,2000,7,56000
522,185,776,10000,430055,16785,856,75000000,2000,6,16000
530,147,88,11000,266103,12952,456,75000000,427,6,11000
532,167,212,613,28635,1970,308,50000000,422,5,893
533,70,16,2000,36491,5320,231,75000000,710,4,509
534,384,255,11000,447979,13312,629,75000000,988,7,105000
535,179,221,12000,181443,28497,311,80000000,11000,6,12000
536,151,14000,15000,303864,16199,596,60000000,466,7,16000
538,107,87,3000,16271,5174,57,35000000,576,5,1000
554,284,763,15000,138190,16691,405,75000000,1000,6,30000
557,132,41,11000,31293,14028,254,75000000,982,5,648
560,74,253,3000,14280,5580,171,75000000,889,4,683
561,114,212,2000,45815,4397,222,45000000,845,6,1000
563,308,22,7000,142403,13616,275,74000000,4000,6,70000
567,141,6,22000,27130,24350,126,73000000,1000,6,14000
572,91,41,1000,33884,3287,79,72000000,692,4,266
577,109,212,13000,34435,14780,346,72000000,658,4,886
578,88,218,21,11798,55,124,59660000,17,7,2000
580,73,84,1000,74343,4166,98,71500000,1000,5,694
585,191,357,14000,142569,14790,737,70000000,223,5,10000
586,147,5,870,34359,5217,133,74000000,861,6,16000
587,79,2000,960,98989,3667,158,80000000,848,6,1000
588,486,16000,13000,885175,36741,1527,75000000,11000,8,42000
589,75,14000,49000,182802,64259,363,70000000,8000,6,13000
590,245,420,12000,115687,16235,269,100000000,3000,6,21000
597,107,84,1000,31649,5227,98,75000000,1000,4,2000
598,141,130,4000,103241,6181,742,75000000,973,7,5000
599,358,845,18000,203154,31782,698,70000000,11000,6,45000
600,160,906,1000,56741,6207,515,58000000,906,6,1000
601,355,473,833,154955,4001,800,70000000,697,5,25000
602,235,13000,12000,350698,16138,816,70000000,1000,8,26000
604,388,14000,25000,116159,46726,488,66000000,19000,7,28000
608,261,28,3000,138582,5178,423,70000000,692,6,37000
610,228,905,15000,212085,16034,492,70000000,588,7,15000
613,128,541,12000,39659,12993,189,70000000,405,5,792
615,105,84,989,41663,1576,141,70000000,229,5,531
616,242,24,5000,117096,5861,271,70000000,327,6,24000
617,360,163,394,61995,712,356,75000000,217,5,33000
618,112,40,13000,43651,15916,196,60000000,787,6,997
619,189,5,26000,105556,49608,157,35000000,22000,6,17000
620,151,323,1000,22264,2763,289,70000000,841,3,584
621,92,8,349,16761,1846,277,70000000,324,3,391
622,79,13,11000,26893,13628,126,70000000,893,5,815
623,81,101,2000,25572,3734,123,70000000,509,6,2000
624,51,6,2000,5116,6946,54,70000000,1000,5,5000
627,159,105,844,31124,1899,313,70000000,729,4,764
628,286,101,13000,177653,15708,279,50000000,1000,6,34000
629,156,212,576,44891,1520,202,70000000,358,4,12000
631,293,171,21000,184637,52547,498,68000000,17000,4,29000
633,304,275,7000,385943,11608,296,69000000,2000,7,31000
634,40,29,584,32224,1132,62,68000000,220,5,617
635,280,3000,14000,117739,30010,229,68000000,11000,6,30000
636,180,448,614,52496,1829,172,70000000,451,7,29000
638,237,101,966,103230,3393,143,36000000,919,5,10000
643,393,335,3000,128629,8281,348,69000000,3000,5,98000
648,219,14000,15000,881236,44998,2277,70000000,14000,8,22000
649,327,76,3000,136954,7081,346,66000000,3000,6,32000
651,193,77,1000,328159,5437,467,59000000,939,7,3000
652,175,759,11000,75573,12194,662,68000000,599,5,4000
653,538,14000,23000,197412,25517,720,65000000,826,7,71000
655,159,2000,15000,208817,17171,296,62000000,968,7,5000
657,80,54,901,34561,5265,116,60000000,857,5,1000
662,307,480,21000,272789,23018,285,65000000,561,6,25000
663,322,11000,769,103589,2938,351,65000000,698,7,35000
670,313,119,600,213863,1375,310,65000000,346,6,59000
672,176,87,2000,24735,4796,213,65000000,1000,5,16000
673,279,43,10000,149337,11943,221,50100000,806,6,23000
674,241,368,27000,147641,29808,238,65000000,1000,6,18000
678,239,545,14000,104831,17913,423,65000000,1000,5,32000
680,94,212,394,60508,1531,285,65000000,380,6,4000
681,134,138,324,49300,1013,265,65000000,192,6,892
683,315,21000,11000,1347461,13209,2968,63000000,783,8,48000
688,308,72,623,65709,3165,194,65000000,593,5,15000
691,339,436,23000,111102,49433,239,65000000,13000,6,32000
692,96,521,11000,17025,16710,290,64000000,1000,5,295
693,361,175,963,134625,2131,265,55000000,580,7,40000
694,226,670,177,190490,253,482,50000000,27,7,26000
697,308,14000,967,613473,2129,895,63000000,610,8,19000
706,596,16000,46000,272839,49912,1018,44000000,1000,7,114000
711,180,64,2000,116681,4811,320,60000000,899,7,11000
714,161,10,925,63912,2252,251,150000000,729,5,912
715,568,21000,835,569841,4348,1127,61000000,812,8,146000
718,113,165,577,42705,2321,274,95000000,501,6,885
719,213,608,2000,667983,3698,877,60000000,617,8,18000
721,81,41,1000,49486,4050,116,60000000,955,5,886
722,265,175,18000,156898,20148,172,61000000,497,6,22000
729,77,163,12000,42737,20348,128,60000000,3000,5,781
730,249,47,988,138246,2517,360,61000000,960,6,24000
731,213,708,11000,63493,20440,302,60000000,8000,5,26000
733,315,124,13000,238916,24928,328,58000000,11000,7,32000
739,387,188,10000,226570,16385,448,60000000,3000,7,38000
743,73,18,658,23476,1233,181,60000000,257,4,858
744,310,253,309,143121,647,279,60000000,229,7,10000
746,171,12000,18000,266310,20454,690,70000000,992,7,14000
747,76,48,21000,14888,24664,83,50000000,936,4,747
751,110,234,3000,23302,4713,181,60000000,552,6,1000
752,328,28,10000,72287,13597,176,60000000,884,7,12000
755,34,50,1000,11370,3653,54,60000000,944,6,829
758,81,11,966,61966,2018,207,60000000,680,5,797
759,47,14,789,35918,2318,126,60000000,520,5,1000
761,315,737,34000,75329,75793,256,60000000,22000,6,24000
762,225,24,18000,69484,20276,323,60000000,992,5,28000
765,219,7,874,40883,3151,122,60000000,668,6,11000
767,435,97,11000,246698,22128,471,60000000,8000,7,64000
768,111,11,1000,51252,4305,156,45000000,759,5,621
770,415,181,33000,173530,34738,264,60000000,301,6,40000
772,306,16000,13000,124222,24458,259,60000000,11000,7,23000
775,49,80,1000,10883,2151,73,65000000,417,4,448
776,161,69,310,42144,1352,213,60000000,219,6,690
783,105,11000,22000,69319,22889,138,60000000,394,5,846
788,149,488,22000,207287,36897,822,60000000,11000,7,15000
791,225,124,865,97089,1417,233,60000000,441,5,20000
793,172,545,722,120416,2525,857,60000000,585,6,10000
797,123,23,11000,35565,12634,247,60000000,779,6,2000
799,100,394,889,14596,1262,282,65000000,290,4,589
800,189,167,20000,41288,22447,126,60000000,882,6,17000
801,212,91,5000,107028,10247,457,60000000,2000,6,44000
802,127,48,973,31640,1865,109,60000000,400,4,791
804,115,2000,11000,35599,15275,195,55000000,1000,6,641
806,223,436,19000,53864,20881,290,60000000,961,4,2000
807,181,192,40000,47320,42683,188,60000000,2000,5,12000
810,14,3,879,1212,1026,9,68005000,107,6,426
812,579,84,16000,479047,18239,1058,58000000,805,8,117000
813,56,65,743,16260,2367,88,60000000,730,4,296
814,490,16000,14000,325264,16277,916,58800000,962,7,112000
815,218,11,2000,47968,5497,154,58000000,1000,6,35000
818,57,32,1000,15517,6299,85,60000000,891,3,500
819,84,10,13000,92106,14574,171,63000000,1000,5,2000
823,246,189,1000,159931,5081,281,58000000,847,6,22000
824,253,545,14000,131447,16098,410,60000000,1000,5,19000
827,117,138,18000,259519,45271,431,57000000,14000,7,11000
828,157,51,11000,70681,16484,198,70000000,3000,5,12000
830,117,420,4000,38298,9814,147,58000000,3000,6,782
831,287,83,12000,87745,16121,331,57000000,1000,4,18000
841,57,293,851,86556,3155,99,54000000,773,5,960
843,53,39,3000,56168,4518,103,55000000,562,5,5000
845,491,521,15000,323353,16281,527,55000000,535,7,65000
848,292,845,18000,229574,37605,436,55000000,17000,7,56000
851,201,125,10000,338383,11036,611,55000000,617,8,32000
855,354,16000,926,735784,3983,2105,30000000,890,8,13000
863,189,70,1000,67191,2820,108,55000000,549,6,14000
870,224,17,838,49207,3697,174,55000000,722,7,30000
871,265,82,622,104066,2488,207,68000000,591,5,15000
877,264,16000,11000,199056,12840,387,55000000,963,7,14000
878,47,99,18000,40346,31014,95,50000000,11000,5,1000
883,84,33,789,13215,1671,497,56000000,640,6,953
885,93,11,939,10417,3742,39,55000000,605,5,610
886,277,33,3000,24285,6089,110,50000000,2000,6,10000
887,76,906,956,11148,2260,229,57000000,579,4,437
888,197,59,2000,61680,4315,222,55000000,828,6,19000
891,66,13,13000,19706,15803,142,55000000,854,5,448
893,202,125,10000,232710,14727,599,55000000,3000,7,26000
894,279,394,13000,39247,25418,131,55000000,11000,5,10000
899,131,102,117,41620,286,418,54000000,62,2,2000
903,209,1000,1000,224013,2601,2319,52500000,691,7,10000
904,98,17,12000,21283,13390,190,53000000,708,5,361
905,391,108,40000,115216,63769,289,53000000,19000,7,44000
907,216,473,18000,217480,22517,429,50000000,1000,7,21000
909,78,438,852,6082,2397,207,55000000,637,5,853
910,106,161,21000,18310,26334,63,55000000,3000,5,672
911,194,14000,29000,525801,48153,667,52000000,15000,8,15000
914,238,58,14000,145974,26002,611,52000000,11000,6,10000
918,215,71,16000,136680,28045,149,52000000,10000,6,13000
920,133,17000,22000,333542,24183,533,52000000,721,8,11000
922,127,13,961,42324,2422,180,52000000,691,5,846
924,98,176,677,21396,2055,155,51000000,560,5,605
926,299,129,21000,220758,64040,919,50000000,17000,4,13000
928,413,53,13000,200035,14607,407,50200000,963,7,36000
931,457,3000,15000,471644,21773,623,50000000,3000,7,74000
932,156,274,625,224671,1474,470,50000000,440,7,11000
934,272,285,11000,131227,28176,346,50000000,8000,6,41000
936,539,14000,1000,287822,3388,849,50000000,560,7,37000
939,330,97,17000,258186,19428,322,50000000,920,7,24000
940,120,277,11000,239752,25697,406,60000000,10000,7,11000
942,177,43,12000,33354,14569,110,50000000,919,6,10000
944,145,51,8000,54010,10886,130,50000000,2000,6,13000
945,321,252,40000,101178,62837,779,50000000,11000,6,90000
951,143,9,14000,58412,37967,242,50000000,11000,5,2000
953,310,43,33000,375456,57426,292,50000000,15000,7,44000
954,116,12,13000,58961,13430,232,35000000,258,5,795
956,419,152,22000,283563,53094,312,50000000,18000,7,27000
958,359,174,14000,200647,16967,384,50000000,664,7,24000
960,525,160,20000,791783,22417,2042,54000000,979,8,48000
961,165,71,154,81444,428,192,50000000,131,6,955
963,87,5,8000,12845,11124,118,50000000,2000,6,624
964,117,23,660,36431,2177,168,50000000,651,4,1000
965,113,39,1000,40362,3341,248,50000000,912,6,970
966,349,75,10000,159868,11946,304,50000000,520,6,45000
968,288,154,15000,195043,15608,329,60000000,348,6,27000
971,156,34,17000,45580,19513,102,50000000,995,7,18000
972,171,12,87000,50170,101383,306,50000000,11000,5,773
973,76,16000,16000,39529,19139,142,50000000,1000,6,1000
975,157,21000,495,261069,1397,506,50000000,294,7,25000
978,291,22,3000,172112,8398,181,50000000,1000,6,39000
979,68,473,18000,107227,20152,279,50000000,822,7,3000
980,228,77,490,54101,1367,210,50000000,298,5,15000
981,36,644,437,60293,1093,114,55000000,289,5,669
983,276,71,21000,136973,30183,275,50000000,3000,7,47000
987,124,73,18000,45895,19739,157,50000000,886,6,1000
995,51,31,2000,34896,3016,118,40000000,472,4,877
997,315,16000,13000,80140,14344,323,50000000,563,6,16000
1000,209,73,879,86374,1344,392,50000000,184,6,3000
1002,298,487,430,92461,1300,347,40000000,329,5,43000
1004,146,16000,16000,34356,18635,260,50000000,1000,6,705
1010,79,378,11000,3077,12786,47,50000000,552,6,10000
1012,59,65,1000,19829,6171,94,40000000,923,5,779
1013,236,174,14000,76010,16992,205,50000000,988,6,15000
1017,208,234,20000,85237,45202,274,49900000,11000,5,18000
1019,59,333,972,16562,2606,73,50000000,713,6,697
1021,34,596,10000,12037,15820,90,50000000,3000,5,943
1022,214,218,6000,38513,10191,127,22000000,3000,6,9000
1025,50,607,2000,9227,5461,70,50000000,979,5,422
1027,231,98,1000,67796,3580,258,60000000,852,6,14000
1030,75,5,11000,15880,11972,93,50000000,387,4,288
1032,296,71,12000,81800,16481,211,50000000,2000,5,15000
1036,48,212,879,14429,2795,113,40000000,560,6,2000
1041,371,662,20000,172965,23051,627,49000000,2000,6,67000
1044,32,42,598,1263,2353,32,1500000,555,4,352
1045,150,737,2000,137854,3743,560,48000000,490,7,3000
1046,172,79,27000,40568,27666,185,50000000,254,6,18000
1053,222,118,14000,133436,16967,323,48000000,794,6,38000
1057,72,631,678,47819,2096,164,100000000,631,6,2000
1063,46,350,8000,11913,8349,97,47000000,115,5,616
1065,142,148,8000,47573,9176,343,48000000,973,5,881
1067,143,906,1000,97838,6315,286,45000000,1000,7,3000
1069,65,380,18000,40126,33233,107,46000000,13000,6,975
1072,10,92,1000,491,2704,16,48000000,623,2,115
1074,358,118,14000,238671,16410,461,45000000,935,6,63000
1080,39,541,821,45798,4043,94,45000000,577,6,1000
1084,454,777,20000,383591,37321,620,46000000,15000,8,86000
1086,213,23,25000,123558,26998,609,45000000,724,7,19000
1088,398,33,970,75176,1336,252,45000000,91,7,26000
1094,218,628,14000,318634,28886,1004,45000000,14000,7,52000
1098,48,41,982,37911,3648,73,45000000,843,6,1000
1100,94,58,14000,30255,27351,118,45000000,8000,5,743
1101,276,37,11000,155745,14073,1053,50000000,2000,6,10000
1102,59,38,1000,9380,4604,91,26000000,641,4,531
1104,173,153,35000,87165,49743,184,40000000,11000,6,12000
1109,127,160,550,79141,1102,355,25000000,216,6,2000
1110,122,29,427,114692,1461,285,35000000,304,6,2000
1111,105,8,12000,30055,33822,70,50000000,11000,5,593
1113,156,278,5000,91860,5405,524,45000000,117,7,14000
1117,39,29,2000,15455,3855,80,45000000,461,5,451
1119,82,13,1000,16580,3423,55,45000000,701,5,916
1122,432,38,409,203461,578,588,35000000,107,7,46000
1126,343,2000,854,132423,2507,349,45000000,766,7,15000
1131,87,188,11000,17307,13917,186,40000000,1000,6,892
1134,24,170,849,3803,2457,41,45000000,623,4,68
1135,152,32,219,89568,661,142,45000000,141,6,17000
1142,28,13,23000,13995,26907,62,44000000,2000,5,353
1144,102,517,12000,9830,14255,189,44000000,849,6,1000
1146,159,118,11000,28618,12876,91,40000000,1000,6,11000
1153,252,165,26000,117999,27834,181,40000000,956,6,16000
1154,375,97,17000,408302,19968,345,42000000,971,7,39000
1155,150,50,8000,203269,9255,602,42000000,437,7,11000
1159,270,176,975,133177,4825,380,43000000,815,6,24000
1161,154,153,4000,74169,6727,112,42000000,828,6,17000
1162,114,73,11000,30077,15571,175,42000000,3000,6,893
1167,291,308,10000,91151,15369,283,42000000,2000,5,20000
1168,151,17,22000,42547,33585,265,42000000,9000,6,748
1170,168,487,12000,248123,12076,437,50000000,43,7,10000
1172,127,30,922,34203,3301,169,40000000,786,5,19000
1173,293,133,11000,247020,12239,835,44000000,392,6,50000
1180,98,4,687,29861,1134,132,41000000,312,5,505
1182,258,20,107,125198,362,153,42000000,81,6,11000
1183,108,64,734,34809,2085,125,41000000,574,6,11000
1185,538,737,34000,358416,83012,751,40000000,23000,7,63000
1186,224,98,16000,227824,18656,273,40000000,896,6,10000
1190,362,456,1000,220020,4585,1360,40000000,935,4,101000
1194,319,532,480,203963,1261,420,40000000,449,7,58000
