,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
82,401.0,171.0,11000.0,Action|Adventure|Family|Fantasy|Romance,252257,15516.0,634.0,180000000.0,2000.0,7.0,89000.0
83,521.0,198.0,10000.0,Action|Adventure|Drama|Sci-Fi,317542,14363.0,620.0,170000000.0,2000.0,7.6,45000.0
85,218.0,47.0,18000.0,Action|Adventure|Drama|Fantasy,116994,20965.0,324.0,175000000.0,1000.0,6.3,35000.0
86,576.0,94.0,19000.0,Action|Adventure|Sci-Fi,496749,36188.0,742.0,170000000.0,11000.0,7.8,55000.0
88,443.0,663.0,2000.0,Action|Adventure|Family|Mystery|Sci-Fi,128306,5046.0,497.0,190000000.0,638.0,6.5,37000.0
89,384.0,38.0,756.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,279093,2963.0,433.0,165000000.0,719.0,7.9,41000.0
90,377.0,66.0,975.0,Adventure|Animation|Comedy|Family|Sci-Fi,272534,4451.0,345.0,165000000.0,931.0,7.8,40000.0
92,286.0,776.0,890.0,Action|Adventure|Sci-Fi,58137,3233.0,520.0,165000000.0,812.0,5.5,67000.0
93,288.0,255.0,18000.0,Adventure|Animation|Family|Fantasy,485430,20453.0,492.0,165000000.0,953.0,8.2,33000.0
95,653.0,571.0,14000.0,Action|Adventure|Sci-Fi,682155,32438.0,1097.0,170000000.0,14000.0,8.1,96000.0
96,712.0,22000.0,11000.0,Adventure|Drama|Sci-Fi,928227,31488.0,2725.0,165000000.0,11000.0,8.6,349000.0
97,642.0,22000.0,29000.0,Action|Adventure|Sci-Fi|Thriller,1468200,81115.0,2803.0,160000000.0,27000.0,8.8,175000.0
100,187.0,357.0,23000.0,Action|Crime|Thriller,272223,45327.0,988.0,38000000.0,14000.0,6.7,14000.0
101,362.0,21000.0,11000.0,Drama|Fantasy|Romance,459346,13333.0,822.0,150000000.0,1000.0,7.8,23000.0
102,500.0,905.0,34000.0,Action|Adventure|Sci-Fi,518537,50983.0,698.0,160000000.0,13000.0,7.8,54000.0
103,389.0,508.0,34000.0,Adventure|Sci-Fi,166137,81385.0,383.0,160000000.0,22000.0,6.6,38000.0
104,235.0,226.0,12000.0,Action|Adventure|Family|Fantasy,124185,13388.0,238.0,150000000.0,418.0,6.1,11000.0
106,218.0,33.0,40000.0,Adventure|Family|Fantasy,21352,80806.0,131.0,170000000.0,25000.0,6.4,30000.0
109,474.0,230.0,24000.0,Action|Adventure|Sci-Fi,188457,38873.0,867.0,155000000.0,10000.0,6.6,82000.0
110,228.0,150.0,531.0,Adventure|Family|Fantasy,106446,764.0,227.0,155000000.0,82.0,6.3,11000.0
117,323.0,508.0,10000.0,Drama|Horror|Sci-Fi,530870,13076.0,1413.0,150000000.0,1000.0,7.2,11000.0
119,318.0,663.0,1000.0,Animation|Comedy|Family|Fantasy,473887,4764.0,626.0,150000000.0,1000.0,8.0,10000.0
120,478.0,22000.0,23000.0,Action|Adventure,980946,59558.0,2685.0,150000000.0,14000.0,8.3,15000.0
122,185.0,189.0,49000.0,Adventure|Comedy|Family|Fantasy,130272,54039.0,209.0,150000000.0,3000.0,5.9,2000.0
125,406.0,69.0,1000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,421658,2582.0,904.0,150000000.0,523.0,7.6,58000.0
127,486.0,230.0,26000.0,Action|Adventure|Fantasy,414070,59803.0,532.0,170000000.0,20000.0,7.1,63000.0
128,739.0,750.0,27000.0,Action|Adventure|Sci-Fi|Thriller,552503,40025.0,1588.0,150000000.0,9000.0,8.1,191000.0
133,310.0,473.0,14000.0,Action|Adventure|Fantasy,152826,16184.0,253.0,150000000.0,897.0,5.8,19000.0
134,526.0,13000.0,40000.0,Comedy|Fantasy|Horror,199039,80849.0,479.0,100000000.0,17000.0,6.2,82000.0
135,465.0,188.0,10000.0,Action|Adventure|Thriller,232187,21840.0,440.0,150000000.0,10000.0,7.4,47000.0
137,248.0,282.0,11000.0,Action|Adventure|Drama|Romance,42372,21175.0,239.0,180000000.0,10000.0,6.6,29000.0
139,284.0,90.0,11000.0,Action|Adventure|Animation|Comedy|Family,182718,21015.0,209.0,150000000.0,10000.0,7.3,20000.0
142,339.0,776.0,17000.0,Action|Drama|Thriller,164238,18204.0,434.0,150000000.0,551.0,6.4,33000.0
145,256.0,456.0,20000.0,Adventure|Family|Fantasy,39956,21393.0,186.0,150000000.0,548.0,5.8,24000.0
146,196.0,50.0,3000.0,Adventure|Animation|Comedy|Family|Sci-Fi,47900,5810.0,130.0,145000000.0,1000.0,6.9,11000.0
148,211.0,35.0,851.0,Adventure|Animation|Comedy|Family,119213,2444.0,154.0,145000000.0,770.0,6.9,17000.0
150,464.0,176.0,783.0,Action|Comedy|Fantasy|Sci-Fi,69757,2097.0,1211.0,144000000.0,370.0,5.5,62000.0
152,208.0,188.0,10000.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,270207,14823.0,606.0,140000000.0,3000.0,6.1,2000.0
154,210.0,5.0,24000.0,Action|Adventure|Animation|Comedy|Family,64322,36095.0,145.0,145000000.0,11000.0,7.2,24000.0
155,432.0,663.0,10000.0,Action|Adventure|Thriller,365104,21768.0,512.0,145000000.0,10000.0,7.4,35000.0
156,256.0,52.0,20000.0,Adventure|Animation|Family|Fantasy,123553,20645.0,174.0,145000000.0,315.0,7.3,25000.0
157,135.0,23.0,957.0,Comedy|Crime,110788,1997.0,258.0,100000000.0,550.0,6.1,2000.0
160,518.0,14000.0,26000.0,Action|Adventure|Sci-Fi,504419,39284.0,1559.0,150000000.0,12000.0,8.0,19000.0
162,292.0,255.0,18000.0,Action|Adventure|Animation|Comedy|Family|Fantasy,221128,23378.0,343.0,145000000.0,3000.0,7.9,46000.0
163,184.0,295.0,18000.0,Action|Adventure|Fantasy,51892,19769.0,273.0,140000000.0,934.0,5.5,24000.0
168,351.0,209.0,17000.0,Action|Adventure|Sci-Fi|Thriller,146352,31958.0,288.0,130000000.0,12000.0,5.8,42000.0
171,510.0,394.0,11000.0,Action|Adventure|Sci-Fi,508818,19761.0,679.0,140000000.0,3000.0,6.9,46000.0
172,197.0,150.0,766.0,Action|Adventure|Thriller,157519,2037.0,683.0,135000000.0,536.0,6.4,2000.0
174,322.0,386.0,21000.0,Adventure|Drama|Fantasy|Romance,185394,59177.0,329.0,120000000.0,17000.0,5.5,65000.0
178,252.0,14000.0,535.0,Adventure|Family|Fantasy,12572,1950.0,106.0,140000000.0,400.0,6.8,27000.0
180,166.0,13.0,16000.0,Adventure|Animation|Comedy|Family|Sport,62424,17416.0,90.0,135000000.0,881.0,6.5,13000.0
181,362.0,563.0,40000.0,Adventure|Animation|Comedy|Family|Western,183208,43291.0,337.0,135000000.0,1000.0,7.2,26000.0
182,153.0,35.0,19000.0,Adventure|Animation|Comedy|Family,60230,19963.0,118.0,132000000.0,411.0,6.7,11000.0
184,266.0,54.0,11000.0,Action|Adventure|Animation|Comedy|Family,307029,12754.0,360.0,130000000.0,967.0,7.6,6000.0
185,517.0,235.0,2000.0,Action|Adventure|Comedy|Sci-Fi,313866,5730.0,549.0,130000000.0,2000.0,7.4,61000.0
186,502.0,508.0,34000.0,Adventure|Sci-Fi|Thriller,498397,49355.0,706.0,130000000.0,14000.0,7.6,82000.0
187,322.0,386.0,21000.0,Adventure|Drama|Fantasy|Romance,185394,59177.0,329.0,120000000.0,17000.0,5.5,65000.0
188,165.0,12.0,17000.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,70121,17883.0,214.0,135000000.0,523.0,6.7,26000.0
191,246.0,50.0,4000.0,Action|Adventure|Animation|Comedy|Family|Fantasy,114287,5046.0,137.0,130000000.0,442.0,6.7,16000.0
192,330.0,176.0,11000.0,Action|Crime|Mystery|Thriller,245621,12406.0,514.0,110000000.0,702.0,6.4,23000.0
194,440.0,14000.0,2000.0,Action|Adventure|Family|Mystery,177383,4631.0,447.0,135000000.0,871.0,7.4,44000.0
200,154.0,189.0,49000.0,Adventure|Comedy|Family|Fantasy,67223,53587.0,126.0,127000000.0,3000.0,6.2,11000.0
201,233.0,96.0,24000.0,Action|Animation|Comedy|Family|Sci-Fi,172754,46120.0,187.0,130000000.0,11000.0,7.3,13000.0
203,208.0,124.0,16000.0,Action|Comedy|Fantasy,91640,31549.0,210.0,130000000.0,12000.0,5.6,20000.0
205,271.0,563.0,40000.0,Action|Adventure|Fantasy,809474,48184.0,2113.0,140000000.0,5000.0,8.1,10000.0
207,403.0,508.0,34000.0,Adventure|Sci-Fi|Thriller,305008,81385.0,591.0,125000000.0,22000.0,6.7,52000.0
211,342.0,681.0,23000.0,Action|Crime|Thriller,284792,55345.0,366.0,125000000.0,14000.0,7.3,54000.0
213,344.0,255.0,14000.0,Action|Adventure|Fantasy,229679,18003.0,637.0,125000000.0,1000.0,5.8,15000.0
216,436.0,209.0,10000.0,Action|Adventure|Thriller,229823,12175.0,504.0,125000000.0,826.0,6.7,31000.0
219,239.0,776.0,15000.0,Action|Adventure|Sci-Fi|Thriller,333248,20553.0,1159.0,125000000.0,2000.0,6.4,19000.0
225,267.0,521.0,13000.0,Action|Thriller,40123,13752.0,297.0,120000000.0,365.0,7.1,31000.0
228,71.0,50.0,886.0,Adventure|Animation|Comedy|Family|Fantasy,36471,2682.0,69.0,120000000.0,799.0,5.4,459.0
229,476.0,662.0,13000.0,Action|Drama|Sci-Fi|Thriller,338087,17689.0,814.0,115000000.0,2000.0,6.6,61000.0
231,492.0,294.0,10000.0,Action|Crime|Sci-Fi|Thriller,182899,14161.0,630.0,100000000.0,2000.0,6.2,60000.0
234,283.0,446.0,10000.0,Action|Comedy|Romance,148280,12731.0,348.0,117000000.0,973.0,6.3,11000.0
235,539.0,364.0,11000.0,Action|Adventure|Mystery|Sci-Fi,387436,22004.0,892.0,120000000.0,10000.0,7.0,71000.0
239,440.0,446.0,20000.0,Action|Adventure|Sci-Fi|Thriller,328067,23755.0,533.0,120000000.0,992.0,6.7,68000.0
241,257.0,16.0,16000.0,Adventure|Animation|Comedy|Family|Fantasy,150618,43286.0,195.0,135000000.0,15000.0,7.3,28000.0
244,231.0,19.0,26000.0,Action|Adventure|Drama|Fantasy,37750,46719.0,134.0,115000000.0,11000.0,6.1,16000.0
245,348.0,473.0,833.0,Action|Adventure|Comedy|Sci-Fi,167085,2690.0,491.0,125000000.0,809.0,5.9,62000.0
248,181.0,13.0,5000.0,Action|Adventure|Comedy|Sci-Fi,17533,8306.0,115.0,135000000.0,833.0,6.3,12000.0
249,369.0,128.0,596.0,Action|Adventure|Sci-Fi,110486,1261.0,695.0,120000000.0,360.0,4.3,41000.0
250,179.0,189.0,49000.0,Action|Adventure|Comedy|Family|Fantasy,234480,55486.0,444.0,110000000.0,3000.0,6.4,3000.0
251,358.0,62.0,12000.0,Action|Adventure|Drama|Thriller,147497,16718.0,499.0,110000000.0,2000.0,6.1,52000.0
253,192.0,776.0,13000.0,Action|Drama|History|War,207613,19454.0,1144.0,110000000.0,2000.0,7.1,4000.0
256,263.0,124.0,14000.0,Adventure|Sci-Fi|Thriller,154621,22622.0,258.0,110000000.0,5000.0,6.3,27000.0
259,447.0,1000.0,11000.0,Action|Comedy|Crime|Sci-Fi|Thriller,136019,13391.0,443.0,120000000.0,1000.0,5.8,14000.0
261,366.0,263.0,6000.0,Action|Drama|Fantasy|War,225273,10583.0,523.0,110000000.0,1000.0,6.2,71000.0
262,172.0,67.0,383.0,Adventure|Animation|Comedy|Family|Fantasy,66593,692.0,153.0,110000000.0,113.0,5.5,31000.0
263,104.0,6.0,12000.0,Animation|Comedy|Family|Music|Western,13581,13607.0,88.0,110000000.0,513.0,5.4,304.0
264,181.0,124.0,6000.0,Action|Adventure|Mystery|Sci-Fi|Thriller,44296,12452.0,144.0,110000000.0,5000.0,5.8,12000.0
265,327.0,189.0,20000.0,Action|Drama|Sci-Fi|Sport,254841,22254.0,426.0,110000000.0,929.0,7.1,36000.0
267,79.0,101.0,673.0,Action|Crime|Romance|Thriller,60573,2027.0,248.0,160000000.0,368.0,3.7,894.0
268,326.0,151.0,11000.0,Action|Sci-Fi,184561,12908.0,554.0,110000000.0,635.0,6.7,123000.0
273,109.0,34.0,760.0,Adventure|Comedy|Family|Fantasy,36033,2762.0,456.0,109000000.0,743.0,3.8,946.0
277,228.0,63.0,852.0,Animation|Family|Fantasy|Musical|Romance,89351,2480.0,214.0,105000000.0,578.0,7.1,5000.0
281,62.0,23.0,752.0,Comedy|Romance,4102,3133.0,89.0,90000000.0,631.0,4.4,53.0
294,265.0,285.0,12000.0,Action|Comedy|Crime,189806,20233.0,316.0,100000000.0,8000.0,6.7,16000.0
296,765.0,16000.0,29000.0,Drama|Western,955174,40978.0,1193.0,100000000.0,11000.0,8.5,199000.0
299,383.0,165.0,26000.0,Action|Adventure|Thriller,246803,57881.0,474.0,92000000.0,13000.0,6.7,108000.0
303,256.0,456.0,20000.0,Adventure|Family|Fantasy,39956,21393.0,186.0,150000000.0,548.0,5.8,24000.0
304,203.0,77.0,14000.0,Adventure|Animation|Family|Fantasy,85833,14552.0,113.0,100000000.0,151.0,6.7,17000.0
305,321.0,207.0,40000.0,Action|Romance|Thriller,176598,55175.0,374.0,100000000.0,11000.0,6.0,25000.0
307,166.0,380.0,29000.0,Adventure|Drama|Thriller,400292,33160.0,657.0,100000000.0,3000.0,8.0,14000.0
308,606.0,17000.0,29000.0,Biography|Comedy|Crime|Drama,780588,46057.0,1138.0,100000000.0,11000.0,8.2,138000.0
311,511.0,670.0,15000.0,Drama|Sci-Fi,284825,22686.0,828.0,102000000.0,5000.0,7.5,124000.0
314,245.0,420.0,12000.0,Action|Adventure,115687,16235.0,269.0,100000000.0,3000.0,6.0,21000.0
317,320.0,385.0,26000.0,Action|Adventure|Thriller,127258,52610.0,351.0,90000000.0,13000.0,6.1,56000.0
318,163.0,19.0,1000.0,Action|Crime|Sport|Thriller,33953,3962.0,163.0,105000000.0,897.0,5.3,37000.0
319,78.0,6.0,490.0,Comedy|Family|Fantasy,40751,1195.0,239.0,84000000.0,294.0,2.2,881.0
320,289.0,2000.0,26000.0,Action|Adventure|Biography|Drama|History|Thriller,71782,28328.0,161.0,100000000.0,911.0,7.0,27000.0
321,66.0,31.0,3000.0,Action|Comedy|Sci-Fi,20295,6161.0,164.0,100000000.0,695.0,3.8,416.0
323,208.0,20.0,144.0,Adventure|Animation|Comedy|Family,27918,309.0,155.0,99000000.0,42.0,7.2,33000.0
324,97.0,342.0,623.0,Drama|Mystery|Thriller,18697,1722.0,263.0,10000000.0,508.0,7.3,578.0
327,136.0,611.0,23000.0,Drama|History|Romance|War,38690,23240.0,130.0,94000000.0,196.0,7.6,13000.0
331,255.0,116.0,8000.0,Comedy,106790,9271.0,177.0,95000000.0,331.0,6.2,18000.0
335,233.0,20.0,22000.0,Adventure|Animation|Comedy|Family,145321,25354.0,139.0,95000000.0,1000.0,6.6,14000.0
338,301.0,475.0,1000.0,Adventure|Animation|Comedy|Family,692482,5641.0,866.0,94000000.0,939.0,8.2,11000.0
341,175.0,44.0,12000.0,Action|Adventure|Fantasy,54501,17098.0,154.0,95000000.0,3000.0,5.5,16000.0
345,529.0,81.0,11000.0,Action|Drama|Sci-Fi|Thriller,403836,13118.0,646.0,93000000.0,1000.0,7.6,47000.0
347,412.0,212.0,13000.0,Action|Thriller,165618,15481.0,503.0,92000000.0,787.0,5.3,66000.0
348,106.0,102.0,2000.0,Drama|History|War|Western,16832,5780.0,267.0,107000000.0,973.0,6.0,701.0
350,61.0,212.0,1000.0,Action|Adventure|Comedy,21102,3611.0,169.0,98000000.0,903.0,5.6,1000.0
354,316.0,12000.0,18000.0,Action|Thriller,149947,25780.0,326.0,100000000.0,3000.0,6.8,18000.0
361,352.0,17000.0,29000.0,Crime|Drama|Thriller,873649,45648.0,2054.0,90000000.0,13000.0,8.5,29000.0
362,143.0,7.0,2000.0,Adventure|Animation|Family|Fantasy|Musical|War,171792,4478.0,222.0,90000000.0,500.0,7.5,12000.0
364,517.0,21000.0,18000.0,Crime|Drama|Mystery|Thriller,330152,20388.0,632.0,90000000.0,1000.0,7.8,54000.0
373,281.0,14000.0,3000.0,Adventure|Drama|Sci-Fi,238747,6217.0,2153.0,100000000.0,882.0,7.1,11000.0
374,122.0,50.0,691.0,Comedy|Family|Fantasy|Horror|Mystery,32049,2622.0,179.0,90000000.0,569.0,4.9,988.0
378,183.0,87.0,8000.0,Adventure|Family|Fantasy,86627,10882.0,204.0,90000000.0,956.0,5.9,28000.0
380,196.0,209.0,11000.0,Action|Adventure|Comedy|Crime|Mystery|Thriller,40862,23031.0,139.0,90000000.0,11000.0,6.9,15000.0
384,240.0,107.0,11000.0,Adventure|Animation|Comedy|Family|Musical,165333,12071.0,186.0,90000000.0,560.0,7.0,19000.0
386,84.0,81.0,3000.0,Action|Drama|Sci-Fi|Thriller,58227,5062.0,181.0,90000000.0,643.0,5.4,2000.0
387,66.0,79.0,11000.0,Action|Crime|Drama|Thriller,45602,26088.0,114.0,86000000.0,11000.0,6.1,979.0
389,369.0,128.0,596.0,Action|Adventure|Sci-Fi,110486,1261.0,695.0,120000000.0,360.0,4.3,41000.0
392,47.0,96.0,887.0,Action|Family|Fantasy|Musical,2508,2728.0,24.0,90000000.0,886.0,4.4,788.0
395,187.0,357.0,23000.0,Action|Crime|Thriller,272223,45327.0,988.0,38000000.0,14000.0,6.7,14000.0
401,228.0,545.0,14000.0,Action|Adventure|Romance,88542,27694.0,254.0,75000000.0,8000.0,5.8,19000.0
402,256.0,266.0,12000.0,Animation|Comedy|Family|Fantasy,164148,37142.0,168.0,85000000.0,11000.0,7.1,28000.0
405,298.0,79.0,18000.0,Action|Crime|Mystery|Thriller,166693,36237.0,276.0,85000000.0,16000.0,6.8,19000.0
406,84.0,36.0,2000.0,Adventure|Comedy|Family,26413,4182.0,77.0,85000000.0,795.0,4.8,372.0
408,157.0,278.0,14000.0,Comedy|Romance,182757,17423.0,483.0,85000000.0,3000.0,6.9,19000.0
412,107.0,28.0,4000.0,Adventure|Animation|Comedy|Family,65270,6081.0,100.0,85000000.0,650.0,6.2,863.0
413,459.0,168.0,14000.0,Adventure|Mystery|Sci-Fi,341058,22226.0,713.0,85000000.0,5000.0,6.7,49000.0
420,98.0,102.0,12000.0,Drama|Fantasy|Romance,169023,23950.0,703.0,90000000.0,11000.0,7.1,10000.0
421,135.0,99.0,672.0,Action|Drama|Thriller,61417,1460.0,339.0,85000000.0,174.0,5.5,941.0
423,382.0,763.0,8000.0,Adventure|Comedy|Drama|Family|Fantasy,70838,11454.0,208.0,85000000.0,886.0,5.6,18000.0
424,393.0,1000.0,10000.0,Action|Comedy|Fantasy|Romance,273921,12687.0,522.0,60000000.0,1000.0,7.5,36000.0
426,94.0,88.0,611.0,Comedy|Romance|Sci-Fi,39391,2818.0,171.0,65000000.0,592.0,4.3,374.0
428,432.0,38.0,409.0,Action|Sci-Fi,203458,578.0,588.0,35000000.0,107.0,7.1,46000.0
429,173.0,153.0,11000.0,Comedy|Drama|Fantasy|Romance,246492,12700.0,685.0,70000000.0,1000.0,6.4,7000.0
434,377.0,21000.0,21000.0,Crime|Drama|History|Mystery|Thriller,301279,36928.0,589.0,65000000.0,15000.0,7.7,12000.0
437,424.0,13000.0,26000.0,Action|Adventure|Thriller,270226,46355.0,741.0,80000000.0,13000.0,6.5,57000.0
439,673.0,378.0,34000.0,Adventure|Drama|Sci-Fi|Thriller,701607,49942.0,1959.0,78000000.0,14000.0,7.3,140000.0
440,383.0,480.0,14000.0,Comedy,375879,16143.0,402.0,80000000.0,670.0,6.5,56000.0
446,234.0,23.0,13000.0,Action|Comedy|Crime|Thriller,125036,25220.0,205.0,84000000.0,12000.0,6.7,22000.0
449,139.0,221.0,12000.0,Comedy,107817,39269.0,255.0,80000000.0,11000.0,5.4,14000.0
452,490.0,17000.0,29000.0,Mystery|Thriller,786092,29585.0,964.0,80000000.0,223.0,8.1,53000.0
455,155.0,610.0,12000.0,Action|Crime|Sci-Fi|Thriller,283967,17087.0,535.0,80000000.0,1000.0,7.3,11000.0
458,204.0,221.0,11000.0,Comedy|Romance,172878,16325.0,203.0,80000000.0,3000.0,6.4,19000.0
463,325.0,117.0,18000.0,Action|Adventure|Drama|Thriller,227072,44797.0,560.0,80000000.0,15000.0,6.9,20000.0
470,406.0,452.0,11000.0,Action|Drama|War,303185,20411.0,701.0,68000000.0,8000.0,7.6,82000.0
473,106.0,21.0,13000.0,Adventure|Animation|Family|Western,44143,14261.0,216.0,80000000.0,503.0,7.0,4000.0
478,152.0,266.0,12000.0,Animation|Comedy|Family|Fantasy,56501,26839.0,97.0,80000000.0,11000.0,6.7,16000.0
480,129.0,11.0,340.0,Animation|Family|Fantasy|Music,27543,814.0,186.0,80000000.0,243.0,7.3,607.0
481,124.0,25.0,891.0,Action|Adventure|Sci-Fi,103787,1919.0,615.0,80000000.0,639.0,5.9,3000.0
484,137.0,258.0,2000.0,Action|Adventure|Western,71574,2864.0,244.0,75000000.0,277.0,5.9,951.0
485,121.0,25.0,49000.0,Drama|Fantasy|Romance,83560,49631.0,619.0,85000000.0,448.0,7.0,32000.0
496,101.0,287.0,3000.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,24183,5593.0,160.0,80000000.0,739.0,5.7,665.0
500,61.0,750.0,1000.0,Adventure|Comedy|Drama|Family|Fantasy,24868,2521.0,216.0,80000000.0,971.0,5.8,964.0
501,202.0,42.0,14000.0,Action|Adventure|Fantasy,58752,16922.0,117.0,90000000.0,788.0,6.0,21000.0
506,272.0,545.0,795.0,Action|Adventure|Drama|History|Romance,84508,1099.0,308.0,80000000.0,172.0,5.6,20000.0
508,205.0,2000.0,1000.0,Biography|Drama,610568,2827.0,1171.0,58000000.0,592.0,8.2,29000.0
509,186.0,28.0,2000.0,Adventure|Animation|Drama|Family|Musical,644348,6458.0,656.0,45000000.0,886.0,8.5,17000.0
511,169.0,18.0,622.0,Animation|Comedy|Family|Fantasy|Sci-Fi,64387,848.0,85.0,78000000.0,161.0,6.5,15000.0
516,119.0,54.0,12000.0,Adventure|Animation|Drama|Family|Fantasy,28276,30230.0,64.0,81200000.0,11000.0,7.8,31000.0
518,49.0,5.0,22000.0,Adventure|Animation|Comedy|Family|Fantasy,16611,28050.0,197.0,76000000.0,1000.0,4.1,413.0
519,165.0,11.0,1000.0,Animation|Comedy|Family,24407,4782.0,155.0,75000000.0,904.0,6.8,36000.0
